I Träger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IPE,,,,,,,,,,,,,,,,,,,Knicklinie,,,,,,,,,,,
,h,b,s,t,r,h-2c,A,G,U,Sy,Jy,Wy,iy,Jz,Wz,iz,"Mpl,y,d","Npl,x,d","Vpl,z,d",Y-y,Z-z,,,,,,,,,,Berechnung Abminderungsfaktor ?
"KFH60,3 / 3,2","60,3",,"3,2",,,,"5,74",,,,"23,5","7,78",2.02,"23,5","7,78",2.02,,,,c,c,,,,,,,,,,
"KFH60,3 / 4,0","60,3",,"4,0",,,,"7,07",,,,"28,2","9,34",2.02,"28,2","9,34",2.02,,,,c,c,,,,,,,,,,
"KFH60,3 / 5,0","60,3",,"5,0",,,,"8,69",,,,"33,5","11,1",1.96,"33,5","11,1",1.96,,,,c,c,,,,,,,,,,
"KFH76,1 / 3,2","76,1",,"3,2",,,,"7,33",,,,"48,8","12,8",2.58,"48,8","12,8",2.58,,,,c,c,,,,,,,,,,
"KFH76,1 / 4","76,1",,4,,,,"9,06",,,,"59,1","15,5",2.55,"59,1","15,5",2.55,,,,c,c,,,,,,,,,,
"KFH76,1 / 5","76,1",,5,,,,"11,2",,,,"70,9","18,6",2.52,"70,9","18,6",2.52,,,,c,c,,,,,,,,,,
"KFH88,9 / 3,2","88,9",,"3,2",,,,"8,62",,,,"79,2","17,8",3.03,"79,2","17,8",3.03,,,,c,c,,,,,,,,,,
"KFH88,9 / 4,1","88,9",,"4,1",,,,"10,7",,,,"96,3","21,7",3.03,"96,3","21,7",3.03,,,,c,c,,,,,,,,,,
"KFH88,9 / 5,3","88,9",,"5,3",,,,"13,2",,,,116,"26,2",2.97,116,"26,2",2.97,,,,c,c,,,,,,,,,,
"KFH114,3 / 3,6","114,3",,"3,6",,,,"12,5",,,,192,"33,6",3.92,192,"33,6",3.92,,,,c,c,,,,,,,,,,
"KFH114,3 / 5,3","114,3",,"5,3",,,,"17,2",,,,257,45,3.87,257,45,3.87,,,,c,c,,,,,,,,,,
"KFH114,3 / 6,3","114,3",,"6,3",,,,"21,4",,,,313,"54,7",3.82,313,"54,7",3.82,,,,c,c,,,,,,,,,,
"KFH139,7 / 5,0","139,7",,"5,0",,,,"21,2",,,,481,"68,8",4.77,481,"68,8",4.77,,,,c,c,,,,,,,,,,
